DateTime,AddedIPs,RemovedIPs
1616696576,256,256
1616703938,0,512
1616733037,256,256
1616763003,0,12032
1616765492,1280,1280
1616772886,256,256
1616775772,512,512
1616778037,256,256
1616782935,512,512
1616787042,256,256
1616789403,256,256
1616790176,512,512
1616794246,256,256
1617359703,27904,56064
1617373897,1280,1280
1617377847,256,256
1617381040,256,256
1617382841,256,256
1617386443,256,256
1617388565,256,256
1617396107,256,256
1617993393,3328,60160
1617994847,256,256
1618073403,1536,4096
1618087000,256,256
1618101303,256,256
1618104364,256,256
1618146052,0,0
1618155299,1280,1280
1618156833,256,256
1618158809,256,256
1618173317,3328,256
1618180084,256,256
1618193978,256,256
1618234432,768,768
1618245410,256,256
1618250439,1536,4096
1618252432,256,256
1618259782,256,256
1618324751,1024,1024
1618329635,256,256
1618338639,3584,8960
1618340702,256,256
1618346251,256,256
1618351245,256,256
1618411532,1280,1024
1618417930,256,256
1618425310,1536,1792
1618428350,256,256
1618444855,256,256
1618454750,11776,512
1618493539,2816,1536
1618497045,256,256
1618504347,256,256
1618511599,10752,11520
1618518881,512,512
1618583433,1024,1024
1618587935,256,256
1618590636,256,256
1618592438,0,6656
1618669382,768,768
1618678203,0,3328
1618684240,256,256
1618705852,256,256
1618713051,256,256
1618759215,512,512
1618764602,1280,0
1618770175,256,256
1618837815,768,768
1618839933,512,0
1618842634,256,256
1618849298,256,256
1618851002,1024,2560
1618857041,256,256
1618871447,256,256
1618875050,256,256
1618878646,256,256
1618885853,256,256
1618928419,1024,1024
1618932137,256,256
1618935854,256,256
1618937403,1024,8192
1618942953,256,256
1618950169,256,256
1618965053,256,256
1619018103,512,512
1619020840,256,256
1619022636,256,256
1619023803,1792,5120
1619024439,256,256
1619037944,0,1024
1619100903,768,768
1619109038,256,256
1619110203,512,7424
1619110841,256,256
1619115420,256,256
1619118043,256,256
1619128849,256,256
1619137854,256,256
1619145054,256,256
1619169111,256,0
1619187323,1024,1024
1619188234,256,256
1619191836,256,256
1619196603,0,4352
1619203202,256,256
1619216556,256,256
1619222452,256,256
1619224203,256,256
1619277395,1024,1024
1619289042,256,256
1619290841,256,256
1619295666,256,256
1619327104,0,2304
1619356533,1792,1792
1619361937,19712,0
1619374761,256,256
1619395253,256,256
1619413203,0,1536
1619450296,1536,1536
1619452834,256,256
1619454036,512,512
1619456435,256,256
1619459136,256,0
1619461233,768,768
1619463637,256,256
1619467242,256,256
1619468653,512,512
1619470841,256,256
1619474446,256,256
1619476243,512,512
1619483447,512,512
1619499003,256,3584
1619503889,0,32768
1619529569,1280,1280
1619535634,256,256
1619538916,2048,0
1619541036,768,768
1619544055,256,256
1619547677,512,512
1619550040,256,256
1619556343,256,256
1619562647,512,512
1619569851,256,256
1619571652,256,256
1619585403,4352,5632
1619619615,1024,1024
1619622034,256,256
1619626738,256,256
1619636440,256,256
1619669450,256,256
1619669703,256,256
1619671803,2560,4864
1619706006,768,768
1619720598,256,768
1619728245,256,256
1619735448,256,65792
1619749852,256,256
1619758203,0,8448
1619795749,512,512
1619799661,256,256
1619803961,256,256
1619814039,256,256
1619829004,256,256
1619834926,211199,0
1619844602,0,6656
1619875003,1024,1024
1619885855,256,256
1619900516,256,256
1619931003,2048,9984
1619947857,0,75776
1619968537,768,768
1619973039,256,256
1619982303,256,256
1619987444,256,256
1619994648,256,256
1620047777,1280,1280
1620052236,256,256
1620059437,256,256
1620064843,256,256
1620065957,256,256
1620069004,512,512
1620080432,256,256
1620087939,256,256
1620103803,256,6144
1620141303,1024,1024
1620153042,256,256
1620154843,256,256
1620190203,2304,4096
1620224103,1024,1024
1620225036,256,256
1620226837,256,256
1620239443,256,256
1620241244,256,256
1620260643,256,256
1620276602,768,7424
1620306926,768,768
1620310581,1024,4096
1620313239,256,256
1620337554,1024,0
1620360961,256,256
1620363003,2048,3840
1620371417,0,5120
1620396904,512,512
1620397838,256,256
1620418804,256,256
1620432603,34816,0
1620433803,256,256
1620449402,256,5120
1620486928,1024,1024
1620533755,256,256
1620534656,20736,0
1620535803,2048,256
1620573304,512,512
1620574237,256,256
1620577838,256,256
1620622203,512,1024
1620655864,512,512
1620674207,256,256
1620708603,0,8960
1620738902,1280,1280
1620743435,256,256
1620750640,256,256
1620754241,8192,65536
1620757843,256,256
1620759903,256,256
1620764225,256,256
1620795003,0,6912
1620812756,768,0
1620832502,1024,1024
1620837036,256,256
1620843303,256,256
1620844240,512,512
1620851445,256,256
1620882469,2048,5120
1620907902,768,768
1620923442,256,256
1620952203,256,256
1620968103,0,4096
1621005431,512,512
1621016388,256,256
1621023787,256,256
1621040460,1024,0
1621054203,0,6400
1621081144,256,256
1621102846,256,256
1621118103,256,256
1621125066,256,256
1621140603,9728,0
1621178107,512,512
1621182643,256,256
1621185770,256,256
1621189148,256,256
1621203847,256,256
1621211194,256,256
1621227003,17664,0
1621264503,768,768
1621269042,256,256
1621290193,256,256
1621313402,15104,4096
1621335661,0,2048
1621350903,768,768
1621351836,256,256
1621361843,256,256
1621399803,39168,7168
1621430103,512,512
1621449043,512,512
1621462664,256,256
1621470655,256,256
1621473303,0,1280
1621486203,8704,5888
1621516525,768,768
1621542602,256,256
1621570513,256,256
1621572603,0,3328
1621606551,768,768
1621656903,256,256
1621659003,0,4352
1621692904,768,768
1621715003,256,256
1621746056,18688,0
1621780234,256,256
1621786643,256,256
1621801352,256,256
1621808606,256,256
1621831803,5120,0
1621862152,768,768
1621863035,256,256
1621881002,256,256
1621895084,256,256
1621918203,2304,3584
1621952136,512,512
1621961452,2048,0
1621969803,256,256
1622004603,2048,4608
1622042137,256,256
1622045956,256,256
1622064263,256,256
1622091003,3072,4096
1622124936,512,512
1622161858,256,256
1622177403,0,5120
1622184003,0,1024
1622215110,256,256
1622240764,256,256
1622263803,0,7680
1622297735,768,768
1622305103,256,256
1622350857,1024,0
1622384275,512,512
1622391529,256,256
1622470503,1024,1024
1622472335,256,256
1622485256,256,256
1622493002,256,256
1622523003,768,5888
1622549779,1024,1024
1622571613,256,256
1622609403,768,4096
1622646939,256,256
1622676903,0,256
1622695803,2304,5888
1622733495,512,512
1622751758,256,256
1622759029,256,256
1622782203,0,7168
1622814360,768,0
1622819760,256,256
1622823424,256,256
1622847303,0,1024
1622868603,0,6144
1622902504,768,768
1622905236,256,256
1622917175,256,256
1622919645,256,256
1622925046,256,256
1622955003,0,3072
1622964656,256,0
1622970006,9216,0
1622996292,1024,1024
1623025238,256,256
1623071703,768,768
1623076234,256,256
1623083438,256,256
1623088850,256,256
1623090087,256,256
1623093804,256,256
1623097398,256,256
1623103256,0,1024
1623104620,256,256
1623127804,0,9216
